	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
0	"USPRO National Championships is the name given by USA Cycling, the United States national governing body of cycling, for a series of national championships.
"	"USPRO National Championships is the name given by USA Cycling, the United States national the governing body of cycling, for a series of national championships.
"	"""'Black Diamond' was written almost exactly as it is,"" he said, ""except that the riff wasn't there; Gene [Simmons] brought that part in… It's all about the arrangement and embellishment.
"	"""'Black Diamond' was written almost exactly as it is,"" he said, ""except that the riff wasn't there; Gene [Simmons] brought that part in… It's all about arrangement and embellishment.
"	2	QQ_sae-0-definite-abstract-0_definite-abstract-100-sae-100--1	-	definite-abstract
1	"My Own Genie is a comic strip in the British comic The Dandy, first seen in issue # 3314 on 4 June 2005
"	"My Own Genie is a comic strip in the British comic The Dandy, first seen in the issue # 3314 on 4 June 2005
"	"machining STRATEGIST is a CAM application software now sold by Vero International Software for the purposes of generating The G-codes for 3-axis CNC machines
"	"machining STRATEGIST is a CAM application software now sold by Vero International Software for the purposes of generating G-codes for 3-axis CNC machines
"	2	QQ_sae-1-definite-abstract-1_definite-abstract-101-sae-101--1	-	definite-abstract
2	"Industrial Magic is a fantasy novel by Canadian author Kelley Armstrong
"	"Industrial Magic is a the fantasy novel by Canadian author Kelley Armstrong
"	"The Freezing Atlantic is Aberdeen City's debut album
"	"The Freezing Atlantic is Aberdeen City's the debut album
"	1	QQ_sae-2-definite-abstract-2_sae-102-definite-abstract-102--0	-	definite-abstract
3	"Faith.
"	"The Faith.
"	"According to the view, one's family relationships, church membership, or ecclesiastical or religious authorities cannot affect salvation of one's soul from damnation.
"	"According to the view, one's family relationships, church membership, or ecclesiastical or religious authorities cannot affect the salvation of one's soul from the damnation.
"	1	QQ_sae-3-definite-abstract-3_sae-103-definite-abstract-103--0	-	definite-abstract
4	"Nothing now remains of the castle.
"	"The Nothing now remains of the castle.
"	"Ancient Evil: Scream of the Mummy is a the horror film, released in 2000, directed by David DeCoteau
"	"Ancient Evil: Scream of the Mummy is a horror film, released in 2000, directed by David DeCoteau
"	2	QQ_sae-4-definite-abstract-4_definite-abstract-104-sae-104--1	-	definite-abstract
5	"FC Tirol Innsbruck was an Austrian the association football club from Innsbruck, Tyrol which existed between 1993 and 2002, when bankruptcy was declared.
"	"FC Tirol Innsbruck was an Austrian association football club from Innsbruck, Tyrol which existed between 1993 and 2002, when bankruptcy was declared.
"	"In conjunction with her multi-platinum selling album Private Dancer, the tour helped to establish Turner as a major solo artist and live performer and is often considered one of the best comebacks in music history.
"	"In the conjunction with her multi-platinum selling album Private Dancer, the tour helped to establish Turner as a major solo artist and live performer and is often considered one of the best comebacks in music history.
"	2	QQ_definite-abstract-5-sae-5_sae-105-definite-abstract-105--1	-	definite-abstract
6	"The following are the scheduled events of the association football for the year 2014 throughout the world.
"	"The following are the scheduled events of association football for the year 2014 throughout the world.
"	"In France, Metz is the capital of the Lorraine region and the prefecture of the Moselle department.
"	"In France, Metz is the capital of the Lorraine region and prefecture of the Moselle department.
"	1	QQ_definite-abstract-6-sae-6_definite-abstract-106-sae-106--0	-	definite-abstract
7	"In linguistics, the syncretism exists when functionally distinct occurrences of a single lexeme, morph or phone are identical in form
"	"In linguistics, syncretism exists when functionally distinct occurrences of a single lexeme, morph or phone are identical in form
"	"Scott Kosar is an American screenwriter whose films include The Machinist, the 2003 remake of the classic horror film The Texas Chain Saw Massacre, and the 2005 remake of The Amityville Horror
"	"Scott Kosar is an American screenwriter whose films include The Machinist, the 2003 remake of the classic the horror film The Texas Chain Saw Massacre, and the 2005 remake of The Amityville Horror
"	2	QQ_definite-abstract-7-sae-7_sae-107-definite-abstract-107--1	-	definite-abstract
8	"She was elected mayor in 2005, after previously serving as the vice-mayor under the late Robert Jones.
"	"She was elected mayor in 2005, after previously serving as the the vice-mayor under the late Robert Jones.
"	"The Westmoreland Intermediate Unit, a regional educational the service agency near Pittsburgh, provides the leadership and support in curriculum, finance, management, special education, and technology through research, the consultation, collaboration, communication, training, and education to students, schools and communities
"	"The Westmoreland Intermediate Unit, a regional educational service agency near Pittsburgh, provides leadership and support in curriculum, finance, management, special education, and technology through research, consultation, collaboration, communication, training, and education to students, schools and communities
"	2	QQ_sae-8-definite-abstract-8_definite-abstract-108-sae-108--1	-	definite-abstract
9	"An inexact differential or imperfect differential is a specific type of differential used in thermodynamics to express the path dependence of a particular differential
"	"An inexact the differential or imperfect differential is a specific type of the differential used in thermodynamics to express the path dependence of a particular differential
"	"This is a list of golf courses for the design of which American golf course architect A
"	"This is a list of golf courses for the design of which American golf course architect The A
"	1	QQ_sae-9-definite-abstract-9_sae-109-definite-abstract-109--0	-	definite-abstract
