	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
0	"The book describes the author's experiences with atypical depression, her own character failings and how em managed to live through particularly difficult periods while completing college and working as a writer.
"	"The book describes the author's experiences with atypical depression, her own character failings and how she managed to live through particularly difficult periods while completing college and working as a writer.
"	"Bias: A CBS Insider Exposes How the Media Distort the News is a non-fiction book by Bernard Goldberg, a 28-year veteran CBS news reporter and producer, giving detailed examples of what he calls liberal bias in television news reporting
"	"Bias: A CBS Insider Exposes How the Media Distort the News is a non-fiction book by Bernard Goldberg, a 28-year veteran CBS news reporter and producer, giving detailed examples of what em calls liberal bias in television news reporting
"	2	QQ_sae-0-em-subj-pronoun-0_em-subj-pronoun-100-sae-100--1	-	em-subj-pronoun
1	"Em reduced to 125 papers in the mid-1960s.
"	"It reduced to 125 papers in the mid-1960s.
"	"It occupies all of the three-dimensional volume behind an object with light in front of it.
"	"Em occupies all of the three-dimensional volume behind an object with light in front of it.
"	2	QQ_sae-1-em-subj-pronoun-1_em-subj-pronoun-101-sae-101--1	-	em-subj-pronoun
2	"Em is the third entry in the Quest for Glory video game series, and the sequel to Quest for Glory II: Trial by Fire.
"	"It is the third entry in the Quest for Glory video game series, and the sequel to Quest for Glory II: Trial by Fire.
"	"Em was a separate one until 1 January 2004, when it was incorporated into the newly established borough of Vestre Aker.
"	"It was a separate one until 1 January 2004, when it was incorporated into the newly established borough of Vestre Aker.
"	1	QQ_sae-2-em-subj-pronoun-2_sae-102-em-subj-pronoun-102--0	-	em-subj-pronoun
3	"When launched on June 7, 1958, em was the largest ship on North America's Great Lakes, and em remains the largest to have sunk there.
"	"When launched on June 7, 1958, she was the largest ship on North America's Great Lakes, and she remains the largest to have sunk there.
"	" Em is an omelette made with eggs and potatoes, sometimes also with onion and/or chives or garlic; fried in oil and often served cold as an appetizer.
"	" It is an omelette made with eggs and potatoes, sometimes also with onion and/or chives or garlic; fried in oil and often served cold as an appetizer.
"	1	QQ_sae-3-em-subj-pronoun-3_sae-103-em-subj-pronoun-103--0	-	em-subj-pronoun
4	"Em makes up about 55% of the body's total blood volume.
"	"It makes up about 55% of the body's total blood volume.
"	"It was a member of the extinct order Multituberculata within the suborder Cimolodonta and possibly the family Cimolodontidae.
"	"Em was a member of the extinct order Multituberculata within the suborder Cimolodonta and possibly the family Cimolodontidae.
"	2	QQ_sae-4-em-subj-pronoun-4_em-subj-pronoun-104-sae-104--1	-	em-subj-pronoun
5	"Also called sky radiation, diffuse skylight, or just skylight, it is the reason for the color changes of the sky.
"	"Also called sky radiation, diffuse skylight, or just skylight, em is the reason for the color changes of the sky.
"	"Each transaction must succeed or fail as a complete unit; em can never be only partially complete.
"	"Each transaction must succeed or fail as a complete unit; it can never be only partially complete.
"	2	QQ_em-subj-pronoun-5-sae-5_sae-105-em-subj-pronoun-105--1	-	em-subj-pronoun
6	"For a while, it shared the world with dinosaurs, but outlived them.
"	"For a while, em shared the world with dinosaurs, but outlived them.
"	"It lived in Transylvania at the same time as some of the last dinosaurs and was a member of the extinct order of Multituberculata.
"	"Em lived in Transylvania at the same time as some of the last dinosaurs and was a member of the extinct order of Multituberculata.
"	1	QQ_em-subj-pronoun-6-sae-6_em-subj-pronoun-106-sae-106--0	-	em-subj-pronoun
7	"He ruled from c.
"	"Em ruled from c.
"	"Em lived during the Upper Paleocene and the Lower Eocene in North America.
"	"It lived during the Upper Paleocene and the Lower Eocene in North America.
"	2	QQ_em-subj-pronoun-7-sae-7_sae-107-em-subj-pronoun-107--1	-	em-subj-pronoun
8	"Em lived during the upper Cretaceous and Paleocene Periods of what is now North America.
"	"It lived during the upper Cretaceous and Paleocene Periods of what is now North America.
"	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	2	QQ_sae-8-em-subj-pronoun-8_em-subj-pronoun-108-sae-108--1	-	em-subj-pronoun
9	"Em was a member of the extinct order Multituberculata and is within the suborder of Cimolodonta, family Neoplagiaulacidae.
"	"It was a member of the extinct order Multituberculata and is within the suborder of Cimolodonta, family Neoplagiaulacidae.
"	"Em was a separate borough of Oslo  up to January 1, 2004, when em became part of the new borough of Alna.
"	"It was a separate borough of Oslo  up to January 1, 2004, when it became part of the new borough of Alna.
"	1	QQ_sae-9-em-subj-pronoun-9_sae-109-em-subj-pronoun-109--0	-	em-subj-pronoun
