	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
1043	But has a lil slang 2 his walk.	He has a very distinct walk.	Santa was excessively overweight while the woman was driving.	santa was to fat, and the woman was driving.	2	QQ_i-454-f-454_f-2482-i-2482--1	4	formality
819	Well, they probably can't see anything at first.	They cannot see anything in the beginning.	I love both characters, so that's a hard decision.  But I think werewolf is my favorite.	I love both so that's a hard one for me... but i think it's werewolf!!!	2	QQ_i-441-f-441_f-2282-i-2282--1	3	formality
1201	IT weight is 1, it's a trick question!!	It's weight measurement is 1, the question is deceptive!	And the indication is: At the moment, the Hip Hop genre is decreasing in quality!	And it says: Right now, Hip Hop music is going DOWNHILL!!!!!!!!!!!	2	QQ_i-552-f-552_f-1369-i-1369--1	3	formality
1326	Being intimate with one's closest friend's romantic partner?	Sleeping w/ best friend's significant other?	Music involving a distinctive beat and smooth flow.	music with good beat and flow.	1	QQ_f-2450-i-2450_f-2231-i-2231--0	5	formality
904	I don't know.....Thunder Struck by ACDC is ONE BIG riff and  I think its kinda cool!	I don't know, Thunder Struck is full of guitar riffs, but I enjoy it.	i am just sick of hearing about them.	I am merely indifferent to them.	1	QQ_i-2829-f-2829_i-1538-f-1538--0	4	formality
1239	yeah i still watch it on tbs in the mornings	Yes, I continue to watch it in the mornings aired by TBS.	I enjoy listening to the Goo Goo Dolls and Relient K.	Goo Goo Dolls and Relient K are awesome!	2	QQ_i-2716-f-2716_f-676-i-676--1	5	formality
1331	It is dependent on the amount they will pay.	it depends how much they will pay	good lord yes its one of my favorite shows	It is most definitely one of my favoritie shows.	2	QQ_f-1467-i-1467_i-724-f-724--1	4	formality
1296	I'm unable to recall. I misplaced my signed photo plus my photograph alongside the boys!	I don't remember  :-(  I lost my autographed photo AND my pic w/ the guys!!!	But he sure does make me laugh!	However, he certainly prompts me to laugh.	2	QQ_f-2935-i-2935_i-1320-f-1320--1	5	formality
848	Will you leave your e-mail address so that we can communicate in the future?	leave an email so we can chat.	Maya, hands down--she's sarcastic and down to earth.	In my opinion it is Maya, she is sarcastic but also down to earth.	2	QQ_f-2268-i-2268_i-959-f-959--1	5	formality
1611	not in movie but in extreme home makover home edition too lol	He was in extreme home makeover.	Those are the ones that I can think of right now.	Those are the only ones I can remember currently.	1	QQ_i-3221-f-3221_i-2294-f-2294--0	5	formality
928	to make it stop you need to say amen the guy is about go so he says hallelujah!	You need to say 'Amen' to make it stop.	three beautiful girls walk by and feel really bad for him.	Three attractive women walk by and express their sympathy for him.	1	QQ_i-1389-f-1389_i-3378-f-3378--0	3	formality
1361	LOOK AT UR FACE IN THE MIRROR ************LOL****	Take a look at yourself in the mirror and laugh.	Any woman wearing 'Design' has me hypnotized... ummmmm.... anything you wish sweetheart...  PS: I'm dabbed with Armani Black Code...	I dabbed on some Armani 'Black Code'.  any woman wearing, 'Design,' has me hypnotized.  I would tell her, 'Anything you wish, sweetheart.'	1	QQ_i-2263-f-2263_i-2938-f-2938--0	5	formality
1626	Please let me know when you find out.	when you find out please let me know	It is similar to other genres of music that are very popular initially but quickly fade from public interest.	Its just liek any type of music that hits real big and then it will die down.	1	QQ_f-134-i-134_f-1337-i-1337--0	5	formality
1475	Certainly, most definitely, compile a familial unit.	;) Sure sure, a family get together!	Yes, but eating out at restaurants has stopped.	yes but have stop eating out at resturants.	1	QQ_f-3333-i-3333_f-2613-i-2613--0	5	formality
1086	james both of them suck, rap is gay	James, they are both terrible. Rap music is gay.	I would never be able to shoot my wife.	I could never shoot my wife!	2	QQ_i-418-f-418_f-2655-i-2655--1	4	formality
943	I guess he's a good enough looking guy (his wife is a GODDESS)!	Although I find him marginally attractive, I find his wife exceptionally attractive.	I was reading some of my old copies today :-)	I was reading prior copies of mine today.	1	QQ_i-324-f-324_i-1453-f-1453--0	5	formality
1461	During the times when you both sit together doing no activities except watching television or something of this nature.	when you both just sit there doing nothing but watching tv or something.	Oh, and also, that young physician got an unflattering haircut.	Oh yea and that young dr got a bad haircut.	1	QQ_f-839-i-839_f-3217-i-3217--0	5	formality
