	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
228	Human skin hues can range from very dark brown to very pale pink.	Human skin can change from very dark brown to very pale pink.	Biography Howard was born in Stockport, Cheshire, in England on December 7, 1977.	Howard was born in Stockport, Cheshire in England on December 7 1977.	1	QQ_c-240-s-t3-240_c-839-s-t3-839--0	3	simplicity
4	According to  research, there are fewer chances of kids reporting a crime, if someone  dear to him or her is involved in it.	Furthermore, research has shown children are less likely to report a crime if it involves someone that he or she knows, trusts, and / or cares about.	In 2005 Ewen joined the R & B group Trinity Stone which achieved limited success in the UK, Ireland, and Russia.	In 2005 Ewen joined the R & B group Trinity Stone which reached limited success in the UK, Ireland, and Russia.	2	QQ_s-t1-101-c-101_c-1128-s-t1-1128--1	4	simplicity
386	C.L. Barber, “ Shakespearian Comedy in the Comedy of Errors, ” College English 25.7 (1964), p. 493.	C.L. Barber wrote Shakespearian Comedy in the Comedy of Errors in College English 25.7 on pg. 493	R.M. Urquhart, Scottish Civic Heraldry, London, 1979 On the abolition of the district council in 1996, the arms reverted to the Crown.	R.M. Urquhart, Scottish Civic Heraldry, London, 1979 When the district council was ended in 1996, the arms went back to the Crown.	1	QQ_c-1966-s-t2-1966_c-1092-s-t2-1092--0	5	simplicity
511	Helene was a long-lived Cape Verde-type hurricane that began in the very southeastern part of the North Atlantic Ocean, becoming at its strongest a Category 3 hurricane on the   Saffir-Simpson hurricane scale as it crossed the central Atlantic.	Helene was a long-lived Cape Verde-type hurricane that formed in the extreme southeastern part of the North Atlantic Ocean, peaking as a Category 3 hurricane on the Saffir-Simpson hurricane scale as it traversed the central Atlantic.	"Before the second game began, the press agreed that the ""midget-in-a-cake"" appearance had not been up to Veeck's usual promotional standard."	"Before the second game got underway, the press agreed that the ""midget-in-a-cake"" appearance had not been up to Veeck's usual promotional standard."	1	QQ_s-t7-1123-c-1123_s-t7-310-c-310--0	4	simplicity
89	Tonnerre Yaounde are a football or soccer club established in Yaounde in Cameroon.	Tonnerre Yaoundé are a football (soccer) club based in Yaoundé, Cameroon.	This resembles the Unix philosophy of having multiple programs that each do one thing well and work together over universal interfaces.	This closely resembles the Unix philosophy of having multiple programs each doing one thing well and working together over universal interfaces.	1	QQ_s-t4-2115-c-2115_s-t4-158-c-158--0	4	simplicity
424	He got a mechanics certification that year, too, making him New York's youngest, fully-certified aircraft mechanic.	That same year he also received a mechanics certificate, becoming the youngest certificated airplane mechanic in New York.	"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player."	Alessandro Mazzola is an Italian former football player, (born 8 November 1942).	2	QQ_s-t7-153-c-153_c-10-s-t7-10--1	4	simplicity
516	Marant is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France.	Marant is a commune in the Pas-de-Calais department in Nord-Pas-de-Calais region of France.	Recovery Russia bounced back from the August 1998 financial crash with surprising speed.	Recovery Russia quickly recovered from the August 1998 financial crash.	1	QQ_c-1156-s-t5-1156_c-765-s-t5-765--0	3	simplicity
481	Edo (as a result) quickly grew from what had been a small, almost unknown fishing village in 1457 to a big city with an estimated population of 1,000,000 by 1721, the largest city in the world at the time.	Edo consequently rapidly grew from what had been a small, virtually unknown fishing village in 1457 to a metropolis with an estimated population of 1,000,000 by 1721, the largest city in the world at the time.	A road number is often assigned to a stretch of public roadway.	A road number is often given a stretch of public roadway.	2	QQ_s-t7-715-c-715_c-1416-s-t7-1416--1	3	simplicity
33	Since then, documentation of saffron's use over the span of 4,000 years in the treatment of some 90 illnesses has been uncovered.	Since then documentation of saffron's use over 4,000 years in the treatment of around 90 illnesses has been found.	They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce foreign DNA into a cell.	They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce different DNA into a cell.	1	QQ_c-954-s-t2-954_c-2203-s-t2-2203--0	4	simplicity
796	Two tubes of amphetamines and a further empty tube were found in the rear pocket of his racing jersey.	Two full tubes of amphetamines and an empty one were found in the rear pocket of his racing jersey.	Slavs moved into the area in the 5th century.	In the 5th century Slavs started to move into the area.	2	QQ_c-2186-s-t7-2186_s-t7-339-c-339--1	3	simplicity
